,CityID,CityName,Country,Lat,Lng,Temperature,MaxTemp,Humidity,Cloudiness,WindSpeed
291,2514301,Mahon,ES,39.89,4.27,57.2,57.2,93,37,9.17
292,4362001,Mayo,US,38.89,-76.51,25.92,30.2,63,1,3.36
293,3533462,Acapulco de Juarez,MX,16.86,-99.89,80.6,80.6,83,40,3.4
294,3421765,Nanortalik,GL,60.14,-45.24,26.06,26.06,88,100,15.79
295,2795238,Houyet,BE,50.19,5.01,25.97,28.99,92,0,1.12
296,3356832,Henties Bay,NA,-22.12,14.28,64,64,91,0,1.99
297,2084442,Vanimo,PG,-2.67,141.3,82.15,82.15,80,67,14.23
298,3038333,Arrondissement d'Ajaccio,FR,42,8.92,49.8,57.2,81,94,8.05
299,6541905,Nola,IT,40.92,14.53,42.01,48,75,77,5.82
300,3453060,Pontes e Lacerda,BR,-15.23,-59.34,78.51,78.51,73,1,3.96
301,5110092,Brewster,US,41.4,-73.62,18.23,27,78,1,3.13
302,5392593,San Ramon,US,37.78,-121.98,53.37,55.99,93,75,3
303,1249931,Beruwala,LK,6.48,79.98,78.48,78.48,82,86,5.48
304,1510689,Baykit,RU,61.67,96.37,-33,-33,94,0,2.68
305,1568770,Quang Ngai,VN,15.12,108.8,73.83,73.83,72,22,3.89
306,3180749,Caorle,IT,45.6,12.88,31.86,36,86,100,3.36
307,2025456,Chernyshevskiy,RU,63.01,112.47,-17,-17,98,100,3.65
308,3380290,Sinnamary,GF,5.38,-52.95,78.42,78.42,78,100,14.9
309,105298,Jizan,SA,17.33,42.67,73.4,73.4,73,20,6.93
310,2278158,Buchanan,LR,5.88,-10.05,77,77,94,75,1.1
311,3372964,Lagoa,PT,39.05,-27.98,58.71,58.71,68,100,22.48
312,2525478,Cabras,IT,39.93,8.53,52.5,53.01,73,100,13
313,2015852,Svetlaya,RU,46.54,138.33,19.72,19.72,67,98,8.88
314,686090,Asau,RO,46.43,26.4,32,32,72,0,6.93
315,1701394,Manuk Mangkaw,PH,4.8,119.85,82.94,82.94,66,86,8.05
316,3929493,San Juan Bautista,PE,-14.01,-75.74,71.35,71.6,88,100,2.24
317,152663,Mugumu,TZ,-1.85,34.7,61.47,61.47,84,100,4.47
318,1018725,Bloemfontein,ZA,-29.12,26.21,60.8,60.8,93,2,6.93
319,3035843,Auxerre,FR,47.8,3.57,24.21,26.01,92,0,3.36
320,3696183,Iquitos,PE,-3.75,-73.25,75.2,75.2,94,99,2.24
321,4845585,Westport,US,41.14,-73.36,21.52,28.99,49,1,4.7
322,2035746,Mishan,CN,45.55,131.88,23.36,23.36,76,100,10.22
323,2034615,Tahe,CN,52.33,124.73,-1.16,-1.16,81,5,3.65
324,138025,Damghan,IR,36.17,54.35,28.2,28.2,67,0,3.02
325,2112802,Hasaki,JP,35.73,140.83,42.62,45,60,75,6.93
326,5563839,Fortuna,US,40.6,-124.16,47.95,50,81,20,5.82
327,739209,Susehri,TR,40.16,38.09,6.98,6.98,99,95,9.55
328,2686469,OErnskoeldsvik,SE,63.29,18.72,33.62,35.6,71,33,21.92
329,2156643,Mount Gambier,AU,-37.83,140.77,60.8,60.8,72,40,16.11
330,1254046,Tura,IN,25.52,90.22,64.27,64.27,56,0,3.11
331,3414079,Olafsvik,IS,64.89,-23.71,42.1,42.1,95,100,29.97
332,4277011,Parsons,US,37.34,-95.26,33.76,35.6,80,1,8.05
333,1651810,Airai,TL,-8.93,125.41,82.94,82.94,53,84,4.18
334,1294041,Taungdwingyi,MM,20.02,95.55,72.84,72.84,40,25,3.96
335,1488414,Urengoy,RU,65.97,78.37,-4.05,-4.05,97,100,16.2
336,1309937,Maymyo,MM,22.03,96.47,69.8,69.8,64,0,3.36
337,2016216,Sosnovo-Ozerskoye,RU,52.52,111.54,-7.29,-7.29,96,84,8.23
338,1786764,Yichang,CN,30.71,111.28,46.69,46.69,72,93,2.68
339,3687238,Cartagena,CO,10.4,-75.51,78.8,78.8,88,40,6.93
340,1165635,Shahdadpur,PK,25.92,68.62,51.8,51.8,71,40,6.93
341,5961417,Gimli,CA,50.63,-96.99,18,18,91,73,5.01
342,6089245,Norman Wells,CA,65.28,-126.83,-18.4,-18.4,75,20,4.7
343,4047434,Russell,US,32.35,-85.2,30.06,33.8,63,1,4.7
344,187585,Marsabit,KE,2.33,37.99,79.27,79.27,29,16,10.09
345,5849297,Kihei,US,20.79,-156.47,71.53,75.2,64,40,4.7
346,2136825,Isangel,VU,-19.55,169.27,78.8,78.8,74,51,13.87
347,2030065,Mandalgovi,MN,45.76,106.27,8.64,8.64,79,0,7.45
348,2455517,Kayes,ML,14,-11,73.4,73.4,33,99,4.7
349,2027044,Batagay,RU,67.63,134.63,-26.68,-26.68,95,98,2.04
350,2012530,Zhigansk,RU,66.77,123.37,-27.42,-27.42,97,100,7.52
351,3860443,Comodoro Rivadavia,AR,-45.87,-67.5,69.8,69.8,60,92,4.7
352,3466165,Cidreira,BR,-30.18,-50.21,74.88,74.88,77,100,24.52
353,1280037,Shache,CN,38.42,77.24,25.52,26.01,70,2,1.99
354,2138555,Poum,NC,-20.23,164.02,78.48,78.48,73,0,16.51
355,3374210,Sao Filipe,CV,14.9,-24.5,69.31,69.31,81,67,3.65
356,55671,Kismayo,SO,-0.36,42.55,80.89,80.89,81,11,19.22
357,2643044,Margate,GB,51.38,1.39,36.97,42.01,100,75,5.82
358,2184512,Pleasant Point,NZ,-44.27,171.13,71.01,71.01,72,68,5.01
359,6164499,The Pas,CA,53.83,-101.25,30.2,30.2,80,90,12.75
360,6160362,Swan River,CA,52.11,-101.27,20.05,20.05,87,0,9.26
361,1180419,Daud Khel,PK,32.88,71.57,47.48,47.48,77,56,3.71
362,2122614,Okha,RU,53.57,142.95,-1.08,-1.08,86,7,11.5
363,2065594,Mount Isa,AU,-20.73,139.5,77,77,100,40,21.92
364,4149635,Callaway,US,30.15,-85.57,35.71,39.2,55,1,9.17
365,1277333,Bengaluru,IN,12.98,77.6,69.82,72,83,40,9.17
366,1842966,Gijang,KR,35.24,129.21,42.8,42.8,70,90,3.36
